metric,method,x,mean,std,n
conffail_auroc@0.85,MSP,0.85,0.5612,0.0211,9
conffail_auroc@0.85,Temp-scaling,0.85,0.5733,0.0245,9
conffail_auroc@0.85,MC-dropout,0.85,0.5708,0.0223,9
conffail_auroc@0.85,Energy,0.85,0.6481,0.0047,9
conffail_auroc@0.85,MaxLogit,0.85,0.6444,0.0055,9
conffail_auroc@0.85,Guardrail,0.85,0.6345,0.013,9
conffail_auroc@0.85,Fusion,0.85,0.6562,0.0059,9
deferral_benefit_recovered,MSP,0.05,0.0534,0.0051,9
deferral_benefit_recovered,MSP,0.1,0.111,0.0068,9
deferral_benefit_recovered,MSP,0.2,0.214,0.0094,9
deferral_benefit_recovered,MSP,0.3,0.3211,0.0197,9
deferral_benefit_recovered,MSP,0.5,0.5253,0.0062,9
deferral_benefit_recovered,Temp-scaling,0.05,0.0556,0.0034,9
deferral_benefit_recovered,Temp-scaling,0.1,0.1061,0.007,9
deferral_benefit_recovered,Temp-scaling,0.2,0.2152,0.0133,9
deferral_benefit_recovered,Temp-scaling,0.3,0.3108,0.0216,9
deferral_benefit_recovered,Temp-scaling,0.5,0.5119,0.0057,9
deferral_benefit_recovered,MC-dropout,0.05,0.0542,0.0023,9
deferral_benefit_recovered,MC-dropout,0.1,0.1084,0.0084,9
deferral_benefit_recovered,MC-dropout,0.2,0.2121,0.0104,9
deferral_benefit_recovered,MC-dropout,0.3,0.3187,0.0188,9
deferral_benefit_recovered,MC-dropout,0.5,0.521,0.0052,9
deferral_benefit_recovered,Energy,0.05,0.058,0.0065,9
deferral_benefit_recovered,Energy,0.1,0.1151,0.0135,9
deferral_benefit_recovered,Energy,0.2,0.2281,0.013,9
deferral_benefit_recovered,Energy,0.3,0.3329,0.0182,9
deferral_benefit_recovered,Energy,0.5,0.5235,0.0248,9
deferral_benefit_recovered,MaxLogit,0.05,0.0579,0.0059,9
deferral_benefit_recovered,MaxLogit,0.1,0.1149,0.0155,9
deferral_benefit_recovered,MaxLogit,0.2,0.2315,0.0148,9
deferral_benefit_recovered,MaxLogit,0.3,0.3319,0.0164,9
deferral_benefit_recovered,MaxLogit,0.5,0.5229,0.0272,9
deferral_benefit_recovered,Guardrail,0.05,0.0657,0.0119,9
deferral_benefit_recovered,Guardrail,0.1,0.1205,0.0127,9
deferral_benefit_recovered,Guardrail,0.2,0.2293,0.0167,9
deferral_benefit_recovered,Guardrail,0.3,0.3313,0.0175,9
deferral_benefit_recovered,Guardrail,0.5,0.53,0.0184,9
deferral_benefit_recovered,Fusion,0.05,0.0698,0.0099,9
deferral_benefit_recovered,Fusion,0.1,0.1201,0.0206,9
deferral_benefit_recovered,Fusion,0.2,0.237,0.0158,9
deferral_benefit_recovered,Fusion,0.3,0.3326,0.0172,9
deferral_benefit_recovered,Fusion,0.5,0.5259,0.0213,9
