dataset,backbone,supervision_type,seed,guard_jobid,source_dir,run_id,dataset_name,split,domain,student_name,student_backbone,train_method,msp_threshold,n_confident,n_failures,failure_rate,failure_cutoff,failure_label,msp_auroc,msp_ap,entropy_auroc,entropy_ap,temp_msp_auroc,temp_msp_ap,mc_dropout_auroc,mc_dropout_ap,guardrail_auroc,guardrail_ap,dense_bce_auroc,dense_bce_ap,dense_gap_auroc,dense_gap_ap,oracle_auroc,oracle_ap
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_fog,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,100,20,0.2,0.6668920718660682,top20,0.4024999999999999,0.2302888722658899,0.414375,0.2322258325438728,0.39,0.2163134935575192,0.414375,0.2321815695888911,0.42375,0.1931692259639809,0.4075,0.1934865088102069,0.42375,0.1931692259639809,0.6437499999999999,0.4084304157346928
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_fog,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,99,20,0.202020202020202,0.6668920718660682,top20,0.4075949367088607,0.2794953525252455,0.419620253164557,0.2804889427803482,0.3949367088607595,0.2557231973802278,0.419620253164557,0.2804417918178843,0.4291139240506328,0.2027338121963889,0.4126582278481012,0.2011874644016733,0.4291139240506328,0.2027338121963889,0.6392405063291139,0.4084304157346929
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_fog,acdc,val,fog,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,39,10,0.2564102564102564,0.6668920718660682,top20,0.3448275862068965,0.2244342903102378,0.3655172413793103,0.2234629699639174,0.3344827586206896,0.213411213231512,0.3724137931034482,0.2256724744553692,0.4620689655172414,0.24743671926177,0.4103448275862069,0.2420099135362293,0.4620689655172414,0.24743671926177,0.7206896551724138,0.605554226475279
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,96,20,0.2083333333333333,0.8833217918856093,top20,0.4565789473684211,0.2447622730080951,0.4605263157894737,0.2889392900018902,0.4671052631578947,0.3041123534782833,0.4611842105263158,0.2940589612505937,0.6407894736842105,0.4033798645761732,0.6572368421052632,0.4210026261872214,0.6407894736842105,0.4033798645761732,0.618421052631579,0.3545178639688156
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,63,13,0.2063492063492063,0.8833217918856093,top20,0.3415384615384615,0.1783357364061373,0.3215384615384615,0.1866062538688411,0.3338461538461538,0.1638631540985169,0.32,0.1862525845496545,0.6415384615384616,0.4453059094664521,0.6200000000000001,0.3792106171102536,0.6415384615384616,0.4453059094664521,0.5876923076923077,0.3731809750372411
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,20,7,0.35,0.8833217918856093,top20,0.4615384615384615,0.3593101343101343,0.3956043956043956,0.3221778589978501,0.4615384615384615,0.3676743424642584,0.3956043956043956,0.3221778589978501,0.4835164835164835,0.4907268170426065,0.5054945054945055,0.5062238930659984,0.4835164835164835,0.4907268170426065,0.6483516483516483,0.6369047619047619
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,99,19,0.1919191919191919,0.705496596285536,top20,0.6289473684210526,0.3247604883424129,0.6348684210526315,0.3283879822401313,0.636842105263158,0.3506901290729483,0.638157894736842,0.3550919504573779,0.6355263157894737,0.3856423341861353,0.6197368421052631,0.3506263315847063,0.6355263157894737,0.3856423341861353,0.6197368421052631,0.237612613719571
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.9,95,16,0.1684210526315789,0.705496596285536,top20,0.5688291139240507,0.1969225222190295,0.5767405063291139,0.2099251075383652,0.5783227848101266,0.2300776094539549,0.5799050632911392,0.2104758620752544,0.6075949367088608,0.3732195037540842,0.5791139240506329,0.2968094523917614,0.6075949367088608,0.3732195037540842,0.6139240506329113,0.2110730751824255
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.95,23,1,0.0434782608695652,0.705496596285536,top20,0.1818181818181817,0.0526315789473684,0.1363636363636363,0.05,0.1363636363636363,0.05,0.1363636363636363,0.05,0.5909090909090908,0.1,0.2727272727272727,0.0588235294117647,0.5909090909090908,0.1,0.6363636363636364,0.1111111111111111
acdc,b0,dense_multi,137,9273623,paper_eval_acdc_b0_mit-b0_guard_dense_multi_s137_j9273623,acdc_b0_dense_multi_s137_snow,acdc,val,snow,student_skd,/scratch/gautschi/manors/hf_cache/models--nvidia--mit-b0/snapshots/80983a413c30d36a39c20203974ae7807835e2b4,skd,0.85,97,19,0.1958762886597938,0.7663757310458823,top20,0.6599190283400809,0.3948637340828623,0.6653171390013495,0.4108002016695563,0.6767881241565453,0.4248015440222124,0.6639676113360323,0.408429139619636,0.7537112010796221,0.5046308285442411,0.7213225371120108,0.4915383933911974,0.7537112010796221,0.5046308285442411,0.7597840755735492,0.3695531507287049
